㓮	周字框 土 口 刂
㓯	巛 田 刂
㓰	1 由 凵 刂
㓱	全字头 1 青字底 刂 刂
㓲	户 扁字心 刂
㓳	日 1 龰 刂
㓴	而 大 刂
㓵	口 口 1 丂 刂
㓶	丰 刀 大 刂
㓷	自 木 刂
㓸	斲字旁 刂
㓹	厂 火 火 刂
㓺	虍 文 刂
㓻	罒 正 刂
㓼	木 全字头 氺 刂
㓽	山 宀 示 刂
㓾	尸 犀字心头 牛 刂
㓿	禾 全字头 氺 刂
㔀	日 享字头 小 刂
㔁	癶 1 口 䒑 刂
㔂	米 夕 㐄 刂
㔃	糹 尔字头 巴 刀
㔄	覀 米 刂
㔅	肀 淵字边左 淵字边右 1 刂
㔆	牙二 见字底 牙二 见字底 日 刂
㔇	癶 弓 殳 刂
㔈	艹 非 刂
㔉	尸 3 口 冂 虫无口 刂
㔊	亠 囗 口 日 1 刂
㔋	臣 临右角 皿 刂
㔌	耳 又 亻 纵两撇 飞无折 刂
㔍	竹头 目 廾 刂
㔎	䶹 追字心 辛 刀
㔏	石 石 石 刂
㔐	竹头 1 非 1 刂
㔑	艹 追字心 辛 刀
㔒	山 隹 冂 八 口 刂
㔓	千 力
㔔	力 口 5
㔕	气 力
㔖	力 口 5
㔗	弓 乔字底 力
㔘	屮 凵 力
㔙	䒑 廾 力
㔚	舌 力
㔛	士 口 力
㔜	爫 子 力
㔝	1 巾 入 入 力
㔞	千 北字旁 匕 力
㔟	生 九 4 力
㔠	日 勹 人 6 力
㔡	囱字框 乂 比字旁 匕 力
㔢	糹 尔字头 巴 力
㔣	田 田 田 力
㔤	宀 3 米 田 力
㔥	罒 厶 青字底 匕 匕 力
㔦	䒑 夫 4 艮 力
㔧	虍 田 皿 力
㔨	勹 北字旁 匕 青字底
㔩	勹 土 厶 皿
㔪	勹 鹵
㔫	左字框 匕
㔬	匕 早
㔭	匕 日 1 龰
㔮	卄 1 口 夫 厶 青字底 匕 匕
㔯	匚 几 口
㔰	匚 夕 卜
㔱	匚 臼 人
㔲	匚 飠 九
㔳	匚 飠 几
㔴	匚 田 龷 八
㔵	匚 巳 巳 龷 八
㔶	匚 立 早 夊 工 貝
㔷	匚 1 冂 人
㔸	匚 反字框 虎
㔹	十 力
㔺	十 十 6
㔻	不 十
㔼	扌 隹 十
㔽	卢字头 囗 口
㔾	㔾
㔿	1 丩
㕀	由 㔾
㕁	乂 左字框 厶 卩
㕂	厂 全字头 4 5
㕃	厂 1 廾
㕄	厂 1 幺
㕅	厂 甲
㕆	厂 古
㕇	厂 立
㕈	厂 亠 衣省
㕉	厂 合
㕊	厂 甫
㕋	厂 金
㕌	厂 日 1 寸
㕍	厂 隹
㕎	厂 土 厶 皿
㕏	厂 1 口 䒑 冬字底 十
㕐	厂 臼 勹 灬
㕑	厂 壴 寸
㕒	厂 美字头 3 扌 戈
㕓	厂 黑 土
㕔	厂 耳 王 十 罒 1 心
㕕	厶 厶
㕖	厶 厶 厶 木
㕗	美字头 久二 4 厶
㕘	厶 厶 厶 全字头 小
㕙	厶 八 夊 尔字头 口 见字底 4
㕚	又 4 4
㕛	又 又
㕜	口 2 又
㕝	古 又
㕞	尸 巾 又
㕟	卢字头 扁字心 又
㕠	冫 隹 又
㕡	卢字头 冖 1 八 全字头 口 又
㕢	卢字头 冖 1 貝 又
㕣	八 口
㕤	口 九
㕥	口 人
㕦	口 大
㕧	口 尸
㕨	口 几 4
㕩	口 丰
㕪	口 冖 见字底
㕫	口 方
㕬	口 八 厶
㕭	口 夭
㕮	口 八 乂
㕯	冂 人 口
㕰	口 毛
㕱	口 尤
㕲	口 木
㕳	口 乂 凵
㕴	口 冖 几
㕵	口 王
㕶	口 1 五无横
㕷	口 白
㕸	口 立
㕹	口 左字框 又 4
㕺	口 口 丂
㕻	4 不 口
㕼	口 勹 乂 6
㕽	口 6 4 人
㕾	小 口 匕
㕿	禾 口
㖀	口 聿三 举字底
